,college_names,college_location,overall_score,acceptance_rate,Est_full_price_22_23,Est_price_with_avg_grant,percent_of_student_who_get_grants,graduation_rate,early_career_earnings,avg_price_for_low_income_students,median_sat_act_score,sat_act_required,undergrad_enrollment,percent_of_students_with_need_who_get_grants,percent_of_need_met,percent_of_students_who_get_merit_grants,avg_merit_grant,avg_time_to_a_degree,median_student_debt,percent_earning_more_than_a_high_school_grad
137,Central College,"Pella, IA","
                  70.45
              ","
                  65%
              ","
                  $34,300
              ","
                  $22,900
              ","
                  96%
              ","
                  72%
              ","
                  $49,740
              ","$15,500",1110/22,No,"1,110",100%,76%,27%,"$6,810",4.1 years,"$27,000",75%
138,SUNY College at Plattsburgh,"Plattsburgh, NY","
                  70.45
              ","
                  58%
              ","
                  $27,600
              ","
                  $16,600
              ","
                  83%
              ","
                  68%
              ","
                  $48,340
              ","$10,140",1080/22,No,"4,790",86%,67%,13%,"$5,200",4.3 years,"$21,000",71%
139,University of Wisconsin-Eau Claire,"Eau Claire, WI","
                  70.39
              ","
                  82%
              ","
                  $21,700
              ","
                  $15,100
              ","
                  49%
              ","
                  67%
              ","
                  $51,870
              ","$9,550",NA/24,No,"10,330",78%,81%,10%,"$2,090",4.4 years,"$21,500",78%
140,State University of New York at New Paltz,"New Paltz, NY","
                  70.25
              ","
                  45%
              ","
                  $27,800
              ","
                  $17,000
              ","
                  65%
              ","
                  76%
              ","
                  $52,370
              ","$10,840",1190/26,No,"6,670",77%,55%,1%,"$2,580",4.2 years,"$18,588",69%
141,Concordia College at Moorhead,"Moorhead, MN","
                  70.18
              ","
                  68%
              ","
                  $57,600
              ","
                  $25,400
              ","
                  96%
              ","
                  74%
              ","
                  $51,990
              ","$19,160",1150/24,No,"1,930",99%,89%,24%,"$21,160",4.1 years,"$26,490",78%
142,Kalamazoo College,"Kalamazoo, MI","
                  70.15
              ","
                  76%
              ","
                  $68,100
              ","
                  $29,100
              ","
                  99%
              ","
                  78%
              ","
                  $55,290
              ","$17,810",1270/28,No,"1,270",99%,93%,26%,"$29,820",4.1 years,"$26,103",69%
143,University of Redlands,"Redlands, CA","
                  70.10
              ","
                  76%
              ","
                  $73,600
              ","
                  $31,900
              ","
                  85%
              ","
                  75%
              ","
                  $65,550
              ","$20,410",1170/26,No,"2,970",99%,83%,20%,"$15,730",4.1 years,"$26,249",75%
144,Ohio State University,"Columbus, OH","
                  69.98
              ","
                  54%
              ","
                  $29,500
              ","
                  $19,900
              ","
                  68%
              ","
                  83%
              ","
                  $55,330
              ","$7,070",1360/30,No,"45,660",84%,74%,20%,"$6,240",4.3 years,"$20,500",73%
145,Montclair State University,"Montclair, NJ","
                  69.82
              ","
                  76%
              ","
                  $33,000
              ","
                  $15,900
              ","
                  54%
              ","
                  71%
              ","
                  $54,290
              ","$12,130",1090/NA,No,"16,480",70%,45%,4%,"$3,940",4.4 years,"$22,507",73%
146,Arizona State University,"Tempe, AZ","
                  69.81
              ","
                  86%
              ","
                  $30,400
              ","
                  $15,500
              ","
                  85%
              ","
                  66%
              ","
                  $55,750
              ","$8,970",1240/25,Yes,"44,040",96%,62%,14%,"$7,550",4.3 years,"$20,000",75%
147,University of the Sciences,"Philadelphia, PA","
                  69.72
              ","
                  71%
              ","
                  $50,800
              ","
                  $33,300
              ","
                  97%
              ","
                  73%
              ","
                  $98,780
              ","$23,590",1220/26,No,"1,360",N/A,N/A,N/A,N/A,4.1 years,"$27,000",89%
148,Rose-Hulman Institute of Technology,"Terre Haute, IN","
                  69.69
              ","
                  74%
              ","
                  $73,700
              ","
                  $46,000
              ","
                  97%
              ","
                  81%
              ","
                  $94,130
              ","$34,000",1350/30,No,"1,990",99%,66%,41%,"$16,640",4.1 years,"$25,142",91%
149,Muhlenberg College,"Allentown, PA","
                  69.66
              ","
                  66%
              ","
                  $70,200
              ","
                  $37,100
              ","
                  85%
              ","
                  89%
              ","
                  $68,630
              ","$18,000",1250/29,No,"2,230",96%,84%,31%,"$18,710",4 years,"$25,987",75%
150,Colgate University,"Hamilton, NY","
                  69.62
              ","
                  23%
              ","
                  $79,800
              ","
                  $27,400
              ","
                  46%
              ","
                  89%
              ","
                  $76,270
              ","$10,760",1420/33,No,"2,960",99%,100%,N/A,N/A,4.1 years,"$16,000",83%
151,West Texas A & M University,"Canyon, TX","
                  69.57
              ","
                  69%
              ","
                  $22,400
              ","
                  $13,800
              ","
                  77%
              ","
                  42%
              ","
                  $45,740
              ","$12,280",1040/20,Yes,"7,340",91%,56%,14%,"$3,490",4.5 years,"$19,500",67%
152,Vassar College,"Poughkeepsie, NY","
                  69.53
              ","
                  24%
              ","
                  $80,400
              ","
                  $27,500
              ","
                  62%
              ","
                  92%
              ","
                  $62,330
              ","$10,540",1450/33,No,"2,420",100%,100%,N/A,N/A,4.1 years,"$18,707",72%
